course_id,course_title,url,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,published_timestamp,subject
1070968,Ultimate Investment Banking Course,https://www.udemy.com/ultimate-investment-banking-course/,True,200,2147,23,51,All Levels,1.5,2017-01-18T20:58:58Z,Business Finance
1113822,Complete GST Course & Certification - Grow Your CA Practice,https://www.udemy.com/goods-and-services-tax/,True,75,2792,923,274,All Levels,39.0,2017-03-09T16:34:20Z,Business Finance
1006314,Financial Modeling for Business Analysts and Consultants,https://www.udemy.com/financial-modeling-for-business-analysts-and-consultants/,True,45,2174,74,51,Intermediate Level,2.5,2016-12-19T19:26:30Z,Business Finance
1210588,Beginner to Pro - Financial Analysis in Excel 2017,https://www.udemy.com/complete-excel-finance-course-from-beginner-to-pro/,True,95,2451,11,36,All Levels,3.0,2017-05-30T20:07:24Z,Business Finance
1011058,How To Maximize Your Profits Trading Options,https://www.udemy.com/how-to-maximize-your-profits-trading-options/,True,200,1276,45,26,Intermediate Level,2.0,2016-12-13T14:57:18Z,Business Finance
192870,Trading Penny Stocks: A Guide for All Levels In 2017,https://www.udemy.com/trading-penny-stocks-a-guide-for-all-levels/,True,150,9221,138,25,All Levels,3.0,2014-05-02T15:13:30Z,Business Finance
739964,Investing And Trading For Beginners: Mastering Price Charts,https://www.udemy.com/investing-and-trading-for-beginners-mastering-price-charts/,True,65,1540,178,26,Beginner Level,1.0,2016-02-21T18:23:12Z,Business Finance
"403100,""Trading Stock Chart Patterns For Immediate, Explosive Gains"",https://www.udemy.com/trading-chart-patterns-for-immediate-explosive-gains/,True,95,2917,148,23,All Levels,2.5,2015-01-30T22:13:03Z,Business Finance"
476268,Options Trading 3 : Advanced Stock Profit and Success Method,https://www.udemy.com/day-trading-stock-options-3/,True,195,5172,34,38,Expert Level,2.5,2015-05-28T00:14:03Z,Business Finance
1167710,The Only Investment Strategy You Need For Your Retirement,https://www.udemy.com/the-only-investment-strategy-you-need-for-your-retirement/,True,200,827,14,15,All Levels,1.0,2017-04-18T18:13:32Z,Business Finance
592338,Forex Trading Secrets of the Pros With Amazon's AWS,https://www.udemy.com/trading-with-amazons-aws-servers-trade-secrets-of-the-pros/,True,200,4284,93,76,All Levels,5.0,2015-09-11T16:47:02Z,Business Finance
975046,Trading Options With Money Flow,https://www.udemy.com/trading-options-using-money-flow/,True,200,1380,42,17,All Levels,1.0,2016-10-18T22:52:31Z,Business Finance
742602,Financial Management Risk and Return For Securities,https://www.udemy.com/risk-and-return-finance/,True,30,3607,21,19,All Levels,1.5,2016-02-03T18:04:01Z,Business Finance
794151,Forex Trading Course: Work Smarter Not Harder Proven Results,https://www.udemy.com/the-complete-trading-course/,True,195,4061,52,16,All Levels,2.0,2016-03-16T15:40:19Z,Business Finance
1196544,Python Algo Trading: Sentiment Trading with News,https://www.udemy.com/hedge-fund-strategy-trading-with-sentiment-analysis/,True,200,294,19,42,All Levels,7.0,2017-04-28T16:41:44Z,Business Finance
504036,Short Selling: Learn To Sell Stocks Before The Fall,https://www.udemy.com/short-selling-learn-to-sell-before-the-fall/,True,75,2276,106,19,Intermediate Level,1.5,2015-06-22T21:18:35Z,Business Finance
719698,Basic Technical Analysis: Learn the structure of the market,https://www.udemy.com/learn-basic-technical-analysis/,True,20,4919,79,16,Beginner Level,1.5,2016-01-08T17:21:26Z,Business Finance
564966,The Complete Chart Pattern Trading Course: A Proven Approach,https://www.udemy.com/make-money-trading-stocks-from-home/,True,200,2666,115,52,All Levels,4.0,2015-08-10T21:07:35Z,Business Finance
606928,7 Deadly Mistakes of Investing that Will Slash Your Profits!,https://www.udemy.com/7-deadly-mistakes-of-investing/,True,50,5354,24,23,All Levels,1.5,2015-09-21T18:10:34Z,Business Finance
58977,Financial Statements Made Easy,https://www.udemy.com/intro-to-financial-statements-for-entrepreneurs/,True,95,8095,249,12,Beginner Level,0.5833333333333334,2013-06-09T00:21:26Z,Business Finance
1242604,Winning Forex Trading with Live Forex Trading Examples,https://www.udemy.com/forexmacross/,True,200,809,3,25,All Levels,2.0,2017-06-06T02:54:04Z,Business Finance
798740,Forex Traders - Create Your First Trading Robot. No Coding!,https://www.udemy.com/launch-your-amazing-forex-robot-in-30-minutes-no-coding/,True,200,2295,84,39,All Levels,4.0,2016-05-02T19:26:48Z,Business Finance
506568,Create A Business From Home Trading Stocks Today In 2017,https://www.udemy.com/work-from-home-buying-penny-stocks/,True,75,10149,83,16,All Levels,2.0,2015-05-26T17:25:46Z,Business Finance
1020760,Introduction to Accounting : Mastering Financial Statements,https://www.udemy.com/introduction-to-accounting-mastering-financial-statements/,True,50,1916,38,23,Beginner Level,1.0,2016-12-05T22:14:17Z,Business Finance
859742,The Complete Ethereum Course: Get .01 Ether In Your Wallet,https://www.udemy.com/ethereum/,True,45,2507,333,40,All Levels,2.0,2016-05-30T18:53:46Z,Business Finance
383414,Beginner to Pro in PowerPoint: Complete PowerPoint Training,https://www.udemy.com/powerpoint-master-class-for-business-and-finance-graduates/,True,150,5786,518,50,All Levels,5.0,2015-01-31T15:34:05Z,Business Finance
353044,Investing 101: The Complete Online Investing Course,https://www.udemy.com/online-investing-guide/,True,200,5334,373,42,All Levels,4.5,2014-11-28T17:49:03Z,Business Finance
447362,Create Your Own Hedge Fund: Trade Stocks Like A Fund Manager,https://www.udemy.com/create-your-own-hedge-fund-double-your-money-every-year/,True,175,4005,237,25,Intermediate Level,2.0,2015-04-12T20:13:47Z,Business Finance
831066,Learn MQL5: Build an 8-Currency Hedging Robot (MetaTrader 5),https://www.udemy.com/learn-mql5/,True,150,2877,103,81,All Levels,4.5,2016-04-26T22:41:46Z,Business Finance
1266306,Forex Trading: Your Complete Guide to Get Started Like a Pro,https://www.udemy.com/forex-trading-your-complete-guide-to-get-started-like-a-pro/,True,140,1026,25,37,Beginner Level,3.0,2017-06-27T22:21:31Z,Business Finance
1170894,Python Algo Stock Trading: Automate Your Trading!,https://www.udemy.com/algorithmic-stock-trading-bootcamp-automate-your-trading/,True,95,1165,21,41,Beginner Level,2.5,2017-05-28T23:41:03Z,Business Finance
948974,THE Forex Robot: Incredible ROI (Robot Included),https://www.udemy.com/the-forex-robot-1000-annual-profit-robot-included/,True,200,1843,171,35,All Levels,1.5,2016-10-04T15:20:57Z,Business Finance
380970,The Complete Bitcoin Course: Get .001 Bitcoin In Your Wallet,https://www.udemy.com/bitcoin-for-beginners/,True,45,8797,449,80,All Levels,6.5,2015-01-09T03:55:15Z,Business Finance
1217778,Mastering High Probability Iron Condor Options Trading,https://www.udemy.com/mastering-high-probability-iron-condor-options-trading/,True,200,1030,11,22,All Levels,2.0,2017-06-01T05:22:08Z,Business Finance
1246208,The Complete Short Course on Ethereum,https://www.udemy.com/ethereum1/,True,200,1041,12,28,All Levels,1.5,2017-06-11T19:02:03Z,Business Finance
434774,Options Trading Stocks: Proven Toolbox For Financial Success,https://www.udemy.com/trading-stock-options-ii-simplified-strategies-for-success/,True,195,7884,118,68,Intermediate Level,10.0,2015-05-19T23:25:41Z,Business Finance
308690,Forex Trading A-Zâ„¢ - With LIVE Examples of Forex Trading,https://www.udemy.com/forex-trading/,True,195,16900,2476,52,Beginner Level,5.5,2014-12-12T23:58:39Z,Business Finance
"888716,""Introduction to Finance, Accounting, Modeling and Valuation"",https://www.udemy.com/introduction-to-accounting-finance-modeling-valuation-by-chris-haroun/,True,200,11441,1118,61,All Levels,4.5,2016-06-28T06:12:23Z,Business Finance"
321410,Beginner to Pro in Excel: Financial Modeling and Valuation,https://www.udemy.com/beginner-to-pro-in-excel-financial-modeling-and-valuation/,True,195,22257,2697,138,All Levels,7.5,2014-11-25T23:00:40Z,Business Finance
965832,The Complete Investment Banking Course 2017,https://www.udemy.com/the-complete-investment-banking-course-2016/,True,195,8575,809,110,All Levels,5.5,2016-10-10T16:16:26Z,Business Finance
648826,The Complete Financial Analyst Course 2017,https://www.udemy.com/the-complete-financial-analyst-course/,True,195,24481,2347,174,All Levels,10.0,2016-01-21T01:38:48Z,Business Finance
1035472,Python for Finance: Investment Fundamentals & Data Analytics,https://www.udemy.com/python-for-finance-investment-fundamentals-data-analytics/,True,195,3811,278,103,All Levels,6.5,2017-03-30T22:17:09Z,Business Finance
1154754,Financial Modeling for Startups & Small Businesses,https://www.udemy.com/financial-modeling-for-startups-small-businesses/,True,195,4991,137,79,Beginner Level,11.5,2017-03-29T22:36:05Z,Business Finance
627540,Options Trading - How to Win with Weekly Options,https://www.udemy.com/work-from-home-setup-your-own-options-trading-business/,True,115,7489,1190,25,Intermediate Level,1.0,2015-10-22T21:54:28Z,Business Finance
301442,Black Algo Trading: Build Your Trading Robot,https://www.udemy.com/build-your-trading-robot/,True,200,20195,1113,227,All Levels,16.0,2014-10-27T22:01:36Z,Business Finance
640100,Accounting & Financial Statement Analysis: Complete Training,https://www.udemy.com/accounting-fsa-a-solid-foundation-for-a-career-in-finance/,True,150,10042,594,43,All Levels,3.0,2015-10-22T00:03:48Z,Business Finance
1247394,Cryptocurrency Trading: Complete Guide To Trading Altcoins,https://www.udemy.com/cryptocurrency-trading/,True,95,367,42,35,All Levels,5.0,2017-06-21T23:18:47Z,Business Finance
260470,Forex Robots: Expect To Earn 175% P.A. Forex Robot Included!,https://www.udemy.com/backtesting/,True,200,10603,872,42,All Levels,5.5,2014-10-12T21:19:11Z,Business Finance
1214702,Three Steps Trading - Live Trading - Real Account,https://www.udemy.com/three-steps-trading-live-trading-real-account/,True,190,1197,11,46,All Levels,5.0,2017-05-24T23:02:07Z,Business Finance
848664,Option Trading for Rookies:  Understand Options Completely,https://www.udemy.com/complete-course-introduction-to-option-trading/,True,150,2893,65,62,All Levels,2.0,2016-08-10T15:27:06Z,Business Finance
1142570,How I Learned Stock Trading (and How You Can Too),https://www.udemy.com/best-stock-traders/,True,200,1580,12,53,Expert Level,2.0,2017-05-02T21:20:54Z,Business Finance
325834,Learn to Trade for Profit: Find and Trade Winning Stocks,https://www.udemy.com/trading-stocks-successfully-introduction-to-stock-trading/,True,95,10605,71,77,All Levels,3.0,2014-10-24T18:13:49Z,Business Finance
411168,Trading Inside Bars - Master 1 Easy Pattern To Be Successful,https://www.udemy.com/trading-inside-bars-find-setups-today-make-money-tomorrow/,True,125,2996,200,23,Intermediate Level,2.0,2015-03-09T00:24:38Z,Business Finance
885974,Four Fundamentals of Financial Planning,https://www.udemy.com/four-fundamentals-of-financial-planning/,True,30,6219,23,20,All Levels,1.0,2017-02-14T04:42:58Z,Business Finance
1151092,Options Trading - Calendar Spread Course for Every Trader,https://www.udemy.com/options-trading-calendar-spread-course-for-every-trader/,True,200,1113,11,17,All Levels,1.5,2017-04-02T21:46:00Z,Business Finance
358326,Dividend Investing: Build Your Portfolio for a Better Future,https://www.udemy.com/dividend-investing/,True,60,8314,83,47,Beginner Level,4.0,2015-01-24T06:31:19Z,Business Finance
153210,Learn Accounting. Understand Business.,https://www.udemy.com/learn-accounting-understand-business/,True,200,5572,123,33,Beginner Level,5.5,2014-03-27T17:58:37Z,Business Finance
834836,How to Consistently Win Trading Stocks in 30 Days or Less,https://www.udemy.com/winningstocktrades/,True,145,1433,169,15,Intermediate Level,1.0,2016-05-09T05:44:33Z,Business Finance
1171994,A Beginner's Guide to Quantopian Futures API,https://www.udemy.com/quantopian-futures/,True,20,936,6,11,Intermediate Level,1.5,2017-04-11T00:59:50Z,Business Finance
1239068,How to Buy Cheap Options - Options Trading Pricing Model,https://www.udemy.com/options-black-scholes-model/,True,200,658,2,19,All Levels,1.0,2017-06-02T18:12:45Z,Business Finance
985922,Excel Crash Course: Master Excel for Financial Analysis,https://www.udemy.com/excel-crash-course-master-excel-for-financial-analysis/,True,105,8121,689,40,All Levels,3.5,2016-10-18T00:51:59Z,Business Finance
"765562,""Comprehensive Guide to Financial Markets, Investing &Trading"",https://www.udemy.com/financial-markets-a-to-z-for-beginners/,True,60,4187,600,79,Beginner Level,9.0,2016-02-29T18:45:41Z,Business Finance"
165964,Stock Trading Ninja: Complete System For Trading Success,https://www.udemy.com/stock-trading-ninja-learn-how-to-make-money-trading-stocks/,True,155,9445,497,38,All Levels,4.5,2014-02-19T19:04:28Z,Business Finance
855172,Hedge and Mutual Fund Careers: The Complete Guide,https://www.udemy.com/hedge-fund-mutual-fund-careers-the-complete-guide-how-to-pick-stocks/,True,200,3255,340,102,All Levels,8.5,2016-06-20T20:17:12Z,Business Finance
258232,Algorithmic Trading In Forex: Create Your First Forex Robot!,https://www.udemy.com/learn-mql4/,True,185,7941,713,40,All Levels,6.5,2014-08-11T08:01:14Z,Business Finance
